Datetime,Open,High,Low,Close,Volume
2021-07-05 12:00:00,2196.61,2214.83,2188.94,2208.84,4.2843
2021-07-05 12:15:00,2208.84,2219.13,2208.56,2211.99,0.0128
2021-07-05 12:30:00,2211.99,2218.0,2209.42,2214.01,0.0137
2021-07-05 12:45:00,2214.01,2214.9,2209.76,2210.56,0.0075
2021-07-05 13:00:00,2210.56,2226.37,2208.64,2224.07,0.0137
2021-07-05 13:15:00,2224.07,2225.42,2216.06,2223.67,0.0086
2021-07-05 13:30:00,2223.67,2229.82,2219.39,2227.91,0.0086
2021-07-05 13:45:00,2227.91,2234.4,2225.27,2226.72,0.012
2021-07-05 14:00:00,2226.72,2229.02,2219.68,2223.69,0.0106
2021-07-05 14:15:00,2223.69,2229.49,2219.96,2219.96,0.0112
2021-07-05 14:30:00,2219.96,2225.98,2209.42,2222.46,0.0081
2021-07-05 14:45:00,2222.46,2229.23,2222.46,2226.93,0.0146
2021-07-05 15:00:00,2226.93,2227.4,2214.26,2222.92,0.0107
2021-07-05 15:15:00,2222.92,2224.82,2213.26,2213.69,0.0084
2021-07-05 15:30:00,2213.69,2217.57,2203.97,2216.71,0.0103
2021-07-05 15:45:00,2216.71,2220.61,2206.85,2207.87,0.0085
2021-07-05 16:00:00,2207.87,2219.63,2203.13,2218.85,0.0107
2021-07-05 16:15:00,2218.85,2223.0,2214.13,2217.59,0.0095
2021-07-05 16:30:00,2217.59,2220.99,2213.05,2213.05,0.0115
2021-07-05 16:45:00,2213.05,2218.71,2211.31,2213.27,0.0109
2021-07-05 17:00:00,2213.27,2217.85,2210.0,2214.06,0.012
2021-07-05 17:15:00,2214.06,2216.7,2205.15,2205.54,0.0117
2021-07-05 17:30:00,2205.54,2205.54,2163.96,2163.96,0.009
2021-07-05 17:45:00,2163.96,2215.56,2162.34,2211.28,0.0138
2021-07-05 18:00:00,2211.28,2230.32,2211.28,2218.16,0.0097
2021-07-05 18:15:00,2218.16,2235.58,2217.35,2232.18,0.0102
2021-07-05 18:30:00,2232.18,2232.18,2221.52,2226.49,0.0117
2021-07-05 18:45:00,2226.49,2226.49,2221.45,2223.15,0.0095
2021-07-05 19:00:00,2223.15,2239.98,2223.15,2239.78,0.0118
2021-07-05 19:15:00,2239.78,2249.56,2234.88,2242.33,0.009
2021-07-05 19:30:00,2242.33,2249.53,2241.08,2249.12,0.0068
2021-07-05 19:45:00,2249.12,2250.85,2240.3,2246.48,0.0078
2021-07-05 20:00:00,2246.48,2254.05,2238.21,2238.21,0.0112
2021-07-05 20:15:00,2238.21,2241.71,2216.5,2224.71,0.0079
2021-07-05 20:30:00,2224.71,2230.48,2209.24,2212.0,0.0061
2021-07-05 20:45:00,2212.0,2218.6,2209.95,2216.29,0.012
2021-07-05 21:00:00,2216.29,2232.3,2216.29,2232.04,0.0094
2021-07-05 21:15:00,2232.04,2236.09,2227.92,2233.19,0.007
2021-07-05 21:30:00,2233.19,2239.86,2232.22,2234.15,0.0076
2021-07-05 21:45:00,2234.15,2245.38,2233.79,2244.63,0.0148
2021-07-05 22:00:00,2244.63,2247.02,2232.18,2235.7,0.01
2021-07-05 22:15:00,2235.7,2240.79,2227.65,2240.7,0.007
2021-07-05 22:30:00,2240.7,2242.13,2232.53,2235.75,0.0089
2021-07-05 22:45:00,2235.75,2237.83,2228.93,2229.92,0.0073
2021-07-05 23:00:00,2229.92,2238.61,2229.92,2236.64,0.0074
2021-07-05 23:15:00,2236.64,2241.82,2231.8,2234.29,0.0117
2021-07-05 23:30:00,2234.29,2234.29,2212.42,2212.42,0.0091
2021-07-05 23:45:00,2212.42,2217.37,2194.0,2196.64,0.0109
2021-07-06 00:00:00,2196.64,2229.68,2195.15,2223.96,0.0104
